encounter,level,win_rate,avg_rounds,avg_deaths,avg_hp_pct_on_win,timeouts,n
t10_brute,4,0.000,0.00,6.00,0.000,0,80
t10_brute,5,0.000,0.00,6.00,0.000,0,80
t10_brute,6,0.000,0.00,6.00,0.000,0,80
t10_brute,7,0.000,0.00,6.00,0.000,0,80
t10_brute,8,0.000,0.00,6.00,0.000,0,80
t10_brute,9,0.000,0.00,6.00,0.000,0,80
t10_brute,10,0.000,0.00,6.00,0.000,0,80
t10_skirmisher,1,0.000,0.00,6.00,0.000,0,80
t10_skirmisher,2,0.000,0.00,6.00,0.000,0,80
t10_skirmisher,3,0.000,0.00,6.00,0.000,0,80
t10_skirmisher,4,0.000,0.00,6.00,0.000,0,80
t10_skirmisher,5,0.000,0.00,6.00,0.000,0,80
t10_skirmisher,6,0.000,0.00,6.00,0.000,0,80
t10_skirmisher,7,0.000,0.00,6.00,0.000,0,80
t10_skirmisher,8,0.000,0.00,6.00,0.000,0,80
t10_skirmisher,9,0.000,0.00,6.00,0.000,0,80
t10_skirmisher,10,0.000,0.00,6.00,0.000,0,80
t10_swarm,1,0.000,0.00,6.00,0.000,0,80
t10_swarm,2,0.000,0.00,6.00,0.000,0,80
t10_swarm,3,0.000,0.00,6.00,0.000,0,80
t10_swarm,4,0.000,0.00,6.00,0.000,0,80
t10_swarm,5,0.000,0.00,6.00,0.000,0,80
t10_swarm,6,0.000,0.00,6.00,0.000,0,80
t10_swarm,7,0.000,0.00,6.00,0.000,0,80
t10_swarm,8,0.000,0.00,6.00,0.000,0,80
t10_swarm,9,0.000,0.00,6.00,0.000,0,80
t10_swarm,10,0.000,0.00,6.00,0.000,0,80
t10_ailment,1,0.000,0.00,6.00,0.000,0,80
t10_ailment,2,0.000,0.00,6.00,0.000,0,80
t10_ailment,3,0.000,0.00,6.00,0.000,0,80
t10_ailment,4,0.000,0.00,6.00,0.000,0,80
t10_ailment,5,0.000,0.00,6.00,0.000,0,80
t10_ailment,6,0.000,0.00,6.00,0.000,0,80
t10_ailment,7,0.000,0.00,6.00,0.000,0,80
t10_ailment,8,0.000,0.00,6.00,0.000,0,80
t10_ailment,9,0.000,0.00,6.00,0.000,0,80
t10_ailment,10,0.000,0.00,6.00,0.000,0,80
